Country,First_30_Years_Avg,Last_30_Years_Avg,Temperature_Growth_°C,Growth_Percentage,Overall_Mean,Start_Year,End_Year
United States,6.93,9.5,2.57,37.11,8.46,1768,2013
Russia,-6.56,-4.34,2.22,33.85,-5.58,1812,2013
Finland,0.56,2.28,1.72,307.33,1.2,1743,2013
Egypt,21.9,23.42,1.52,6.93,22.61,1811,2013
Germany,7.66,9.07,1.41,18.37,8.12,1743,2013
Switzerland,6.51,7.93,1.41,21.72,6.96,1743,2013
China,6.11,7.44,1.33,21.82,6.62,1820,2013
Spain,13.15,14.47,1.33,10.08,13.58,1743,2013
Brazil,24.15,25.44,1.28,5.31,24.7,1832,2013
France,12.38,13.64,1.26,10.16,12.75,1743,2013
Japan,11.47,12.69,1.22,10.67,11.95,1841,2013
Thailand,25.43,26.6,1.17,4.59,25.98,1816,2013
Malaysia,25.32,26.45,1.12,4.44,25.81,1825,2013
South Africa,16.85,17.88,1.04,6.15,17.27,1857,2013
Australia,21.24,22.18,0.94,4.44,21.62,1852,2013
