year,month,smoothed_monthly,trend_monthly
2015,1,400.12,398.6
2015,2,400.61,398.78
2015,3,400.91,398.97
2015,4,401.36,399.17
2015,5,401.55,399.39
2015,6,400.32,399.61
2015,7,398.09,399.84
2015,8,396.67,400.09
2015,9,396.88,400.34
2015,10,398.43,400.6
2015,11,400.6,400.88
2015,12,402.17,401.16
2016,1,402.77,401.46
2016,2,403.08,401.75
2016,3,403.79,402.04
2016,4,404.66,402.34
2016,5,404.91,402.64
2016,6,403.8,402.93
2016,7,401.53,403.21
2016,8,399.91,403.48
2016,9,400.51,403.73
2016,10,402.39,403.97
2016,11,403.83,404.19
2016,12,404.99,404.39
2017,1,406.02,404.59
2017,2,406.6,404.76
2017,3,406.81,404.93
2017,4,407.04,405.09
2017,5,407.24,405.24
2017,6,406.26,405.4
2017,7,404.07,405.55
2017,8,402.35,405.71
2017,9,402.32,405.88
2017,10,404.06,406.05
2017,11,406.02,406.22
2017,12,407.14,406.41
2018,1,407.87,406.6
2018,2,408.28,406.79
2018,3,408.75,406.98
2018,4,409.31,407.18
2018,5,409.54,407.39
2018,6,408.71,407.59
2018,7,406.51,407.8
2018,8,404.67,408.01
2018,9,404.76,408.22
2018,10,406.41,408.43
2018,11,408.35,408.64
2018,12,409.64,408.85
2019,1,410.39,409.07
2019,2,410.9,409.28
2019,3,411.21,409.49
2019,4,411.67,409.71
2019,5,412.01,409.94
2019,6,410.97,410.16
2019,7,408.68,410.39
2019,8,407.28,410.62
2019,9,407.77,410.85
2019,10,409.34,411.07
2019,11,410.97,411.29
2019,12,412.19,411.51
2020,1,413.21,411.72
2020,2,413.69,411.92
2020,3,413.92,412.11
2020,4,414.34,412.31
2020,5,414.43,412.49
2020,6,413.45,412.67
2020,7,411.13,412.85
2020,8,409.29,413.03
2020,9,409.87,413.2
2020,10,411.97,413.38
2020,11,413.7,413.55
2020,12,414.49,413.73
2021,1,415.02,413.92
2021,2,415.68,414.1
2021,3,416.12,414.29
2021,4,416.44,414.48
2021,5,416.73,414.69
2021,6,415.87,414.89
2021,7,413.47,415.1
2021,8,411.6,415.31
2021,9,412.0,415.52
2021,10,413.86,415.72
2021,11,415.66,415.92
2021,12,416.99,416.12
2022,1,418.09,416.3
2022,2,418.54,416.47
2022,3,418.41,416.64
2022,4,418.57,416.8
2022,5,419.01,416.95
2022,6,418.04,417.1
2022,7,415.51,417.25
2022,8,413.86,417.39
2022,9,414.18,417.54
2022,10,415.88,417.69
2022,11,417.84,417.84
2022,12,418.92,418.0
2023,1,419.24,418.18
2023,2,419.7,418.36
2023,3,420.41,418.55
2023,4,420.92,418.76
2023,5,421.18,418.98
2023,6,420.26,419.21
2023,7,417.66,419.46
2023,8,415.94,419.72
2023,9,416.62,419.99
2023,10,418.43,420.28
2023,11,420.48,420.57
2023,12,421.89,420.86
2024,1,422.79,421.18
2024,2,423.51,421.48
2024,3,423.81,421.8
2024,4,423.97,422.12
2024,5,424.05,422.44
2024,6,423.23,422.76
2024,7,421.21,423.07
2024,8,419.6,423.39
2024,9,420.16,423.69
2024,10,422.27,423.97
2024,11,424.29,424.25
2024,12,425.66,424.51
2025,1,426.5,424.76
2025,2,427.03,424.98
2025,3,427.21,425.19
2025,4,427.39,425.39
2025,5,427.59,425.58
2025,6,426.53,425.76
2025,7,424.07,425.93
2025,8,422.33,426.1
2025,9,422.68,426.27
2025,10,424.45,426.43
2025,11,426.18,426.58
