Year,Annual_Mean_Abs,Annual_Median_Abs,Annual_Std_Abs,Hemisphere,Warming_Trend,Deviation_from_Trend
1880,13.58,13.61,0.12,Northern,13.374650455927052,0.20534954407294848
1880,13.84,13.87,0.1,Southern,13.465562310030393,0.37443768996960713
1881,13.71,13.69,0.16,Northern,13.383124138986684,0.3268758610133169
1881,13.89,13.88,0.07,Southern,13.471981762917931,0.41801823708206953
1882,13.69,13.58,0.25,Northern,13.391597822046315,0.29840217795368496
1882,13.89,13.9,0.06,Southern,13.47840121580547,0.4115987841945312
1883,13.58,13.64,0.17,Northern,13.400071505105947,0.17992849489405316
1883,13.83,13.83,0.03,Southern,13.484820668693008,0.3451793313069924
1884,13.46,13.44,0.15,Northern,13.408545188165577,0.05145481183442335
1884,13.74,13.78,0.1,Southern,13.491240121580546,0.24875987841945424
1885,13.5,13.52,0.24,Northern,13.41701887122521,0.08298112877479014
1885,13.66,13.68,0.1,Southern,13.497659574468083,0.16234042553191763
1886,13.48,13.52,0.17,Northern,13.42549255428484,0.054507445715159974
1886,13.66,13.68,0.06,Southern,13.50407902735562,0.15592097264437932
1887,13.5,13.52,0.25,Northern,13.433966237344471,0.06603376265552896
1887,13.6,13.62,0.09,Southern,13.51049848024316,0.08950151975684051
1888,13.68,13.73,0.23,Northern,13.442439920404103,0.2375600795958963
1888,13.76,13.72,0.14,Southern,13.516917933130697,0.24308206686930234
1889,13.74,13.76,0.28,Northern,13.450913603463734,0.2890863965362662
1889,13.84,13.84,0.1,Southern,13.523337386018236,0.3166626139817641
1890,13.49,13.48,0.18,Northern,13.459387286523365,0.030612713476635633
1890,13.56,13.55,0.07,Southern,13.529756838905772,0.0302431610942282
1891,13.64,13.72,0.23,Northern,13.467860969582995,0.1721390304170054
1891,13.68,13.66,0.07,Southern,13.53617629179331,0.1438237082066891
1892,13.52,13.57,0.22,Northern,13.47633465264263,0.043665347357370266
1892,13.73,13.76,0.1,Southern,13.542595744680849,0.1874042553191515
1893,13.45,13.61,0.38,Northern,13.48480833570226,-0.03480833570226061
1893,13.7,13.7,0.09,Southern,13.549015197568387,0.15098480243161205
1894,13.51,13.58,0.2,Northern,13.49328201876189,0.016717981238109303
1894,13.66,13.66,0.11,Southern,13.555434650455926,0.10456534954407459
1895,13.62,13.66,0.25,Northern,13.501755701821521,0.11824429817847815
1895,13.73,13.72,0.07,Southern,13.561854103343464,0.16814589665653656
1896,13.7,13.7,0.22,Northern,13.510229384881155,0.18977061511884408
1896,13.87,13.88,0.11,Southern,13.568273556231,0.3017264437689988
1897,13.73,13.77,0.16,Northern,13.518703067940786,0.21129693205921463
1897,13.83,13.78,0.1,Southern,13.574693009118539,0.25530699088146136
1898,13.61,13.62,0.21,Northern,13.527176751000416,0.08282324899958304
1898,13.62,13.6,0.08,Southern,13.581112462006077,0.038887537993922194
1899,13.7,13.7,0.29,Northern,13.535650434060047,0.1643495659399523
1899,13.74,13.74,0.07,Southern,13.587531914893615,0.15246808510638488
1900,13.82,13.84,0.2,Northern,13.544124117119678,0.2758758828803227
1900,13.8,13.8,0.05,Southern,13.593951367781154,0.20604863221884706
1901,13.8,13.78,0.22,Northern,13.552597800179312,0.247402199820689
1901,13.68,13.71,0.07,Southern,13.60037082066869,0.07962917933130953
1902,13.57,13.56,0.19,Northern,13.561071483238942,0.008928516761057992
1902,13.64,13.63,0.04,Southern,13.606790273556228,0.03320972644377207
1903,13.52,13.44,0.22,Northern,13.569545166298573,-0.04954516629857331
1903,13.5,13.5,0.09,Southern,13.613209726443767,-0.11320972644376681
1904,13.41,13.39,0.17,Northern,13.578018849358203,-0.16801884935820333
1904,13.4,13.39,0.1,Southern,13.619629179331305,-0.21962917933130477
1905,13.6,13.66,0.21,Northern,13.586492532417834,0.013507467582165589
1905,13.63,13.64,0.07,Southern,13.626048632218843,0.0039513677811573444
1906,13.68,13.72,0.2,Northern,13.594966215477468,0.08503378452253152
1906,13.67,13.64,0.12,Southern,13.632468085106382,0.03753191489361818
1907,13.43,13.41,0.15,Northern,13.603439898537099,-0.17343989853709907
1907,13.57,13.58,0.03,Southern,13.638887537993918,-0.068887537993918
1908,13.45,13.44,0.13,Northern,13.61191358159673,-0.16191358159673008
1908,13.48,13.47,0.04,Southern,13.645306990881457,-0.16530699088145617
1909,13.44,13.42,0.2,Northern,13.62038726465636,-0.18038726465636046
1909,13.41,13.4,0.08,Southern,13.651726443768995,-0.24172644376899477
1910,13.47,13.5,0.13,Northern,13.62886094771599,-0.1588609477159899
1910,13.46,13.44,0.09,Southern,13.658145896656533,-0.19814589665653237
1911,13.51,13.52,0.19,Northern,13.637334630775625,-0.1273346307756249
1911,13.43,13.4,0.16,Southern,13.664565349544072,-0.23456534954407182
1912,13.45,13.38,0.25,Northern,13.645808313835255,-0.195808313835256
1912,13.64,13.61,0.08,Southern,13.67098480243161,-0.030984802431609282
1913,13.47,13.42,0.21,Northern,13.654281996894886,-0.18428199689488522
