year,mean,median,standard deviation
1852,20.19,20.36,5.02
1853,20.96,21.25,4.72
1854,20.28,18.65,5.11
1855,20.8,22.16,4.74
1856,21.15,21.61,5.04
1857,20.97,21.11,5.17
1858,21.33,22.01,5.41
1859,21.19,21.98,5.09
1860,21.25,21.81,4.73
1861,21.2,22.23,4.78
1862,21.16,21.6,4.83
1863,21.31,21.79,5.04
1864,21.04,21.62,4.75
1865,21.22,21.97,4.97
1866,21.42,21.9,4.96
1867,21.64,22.4,4.91
1868,21.45,22.39,4.83
1869,21.52,21.88,4.96
1870,21.43,22.08,4.81
1871,21.46,22.03,4.72
1872,21.21,21.49,4.97
1873,21.16,21.76,4.82
1874,21.13,22.45,5.05
1875,21.05,21.97,4.69
1876,21.09,21.66,5.18
1877,21.64,22.16,5.02
1878,22.38,23.41,5.26
1879,21.18,21.35,5.54
1880,21.66,21.74,5.26
1881,21.79,22.49,5.25
1882,21.65,22.21,5.43
1883,21.52,21.74,4.83
1884,21.55,21.91,5.2
1885,21.42,22.04,5.12
1886,21.45,21.4,5.04
1887,21.16,21.76,5.18
1888,21.95,22.62,5.4
1889,22.17,22.98,5.35
1890,21.48,22.15,5.01
1891,20.83,21.44,5.33
1892,21.54,21.52,5.14
1893,21.65,22.6,5.0
1894,20.92,21.66,5.33
1895,21.23,22.33,5.09
1896,21.4,22.69,5.87
1897,21.82,22.51,4.97
1898,21.57,21.87,5.24
1899,21.19,21.77,5.46
1900,21.77,22.2,5.61
1901,21.58,21.64,5.63
1902,21.6,22.3,5.19
1903,21.18,21.77,5.15
1904,20.97,21.56,5.05
1905,21.18,21.22,5.4
1906,21.88,22.6,4.9
1907,21.29,22.02,4.72
1908,20.86,21.36,5.6
1909,21.05,21.72,4.88
1910,21.57,21.64,4.6
1911,21.35,21.88,5.12
1912,21.83,22.11,5.27
1913,21.19,22.37,5.35
1914,22.19,23.0,5.29
1915,22.14,22.5,4.92
1916,21.5,21.25,4.75
1917,20.77,21.34,4.73
1918,21.37,22.02,4.92
1919,21.83,22.56,5.13
1920,21.32,21.76,4.79
1921,21.68,21.53,4.72
1922,21.45,22.85,5.41
1923,21.54,22.16,5.48
1924,21.21,21.0,4.6
1925,21.1,21.79,5.33
1926,21.7,22.64,5.24
1927,21.4,21.86,5.05
1928,22.02,23.06,5.11
1929,21.1,21.42,5.45
1930,21.64,21.94,4.85
1931,21.24,21.12,4.84
1932,21.46,21.5,5.42
1933,21.39,22.08,5.13
1934,21.51,21.54,5.08
1935,21.4,21.66,5.28
1936,21.72,21.86,5.07
1937,21.53,22.08,5.23
1938,22.09,22.99,5.21
1939,21.34,21.71,5.31
1940,21.68,22.37,5.14
1941,21.36,22.06,4.91
1942,21.93,22.13,4.58
1943,21.32,22.14,5.35
1944,21.53,21.72,5.23
1945,21.6,21.76,4.7
1946,21.24,20.93,4.95
1947,21.59,21.26,4.89
1948,21.46,21.93,4.98
1949,20.98,21.45,4.99
1950,21.32,21.45,4.86
1951,21.56,21.66,5.32
1952,21.49,21.73,5.17
1953,21.47,22.81,5.1
1954,21.56,22.24,4.96
1955,21.56,22.0,4.88
1956,21.01,21.42,5.26
1957,21.9,23.09,5.15
1958,22.0,22.6,4.93
1959,22.1,22.59,5.0
1960,21.21,22.27,5.42
1961,21.96,23.34,5.37
1962,21.8,22.09,4.92
1963,21.7,22.08,5.14
1964,21.65,21.75,4.66
1965,22.09,22.51,5.26
1966,21.36,21.84,5.11
1967,21.63,23.33,5.15
1968,21.46,22.54,5.46
1969,21.85,22.64,5.15
1970,21.78,22.57,5.23
1971,21.65,22.3,5.28
1972,22.01,22.35,5.01
1973,22.41,22.98,4.67
1974,21.24,21.61,4.78
1975,21.69,21.42,4.6
1976,21.19,21.42,4.99
1977,21.89,22.64,5.34
1978,21.61,22.04,5.25
1979,22.25,22.54,5.39
1980,22.59,22.94,5.05
1981,22.16,23.23,4.91
1982,21.91,22.11,5.48
1983,22.26,22.25,5.31
1984,21.52,22.34,4.98
1985,22.04,22.2,5.33
1986,22.09,22.26,5.24
1987,22.07,23.31,4.93
1988,22.63,23.82,4.79
1989,21.86,22.84,5.35
1990,22.36,22.77,5.36
1991,22.49,23.41,4.87
1992,21.93,22.49,4.87
1993,22.16,22.79,4.85
1994,22.03,22.64,5.18
1995,21.96,22.04,4.75
1996,22.33,22.61,4.62
1997,22.09,22.78,5.24
1998,22.66,23.02,4.95
1999,22.06,22.22,4.7
2000,21.71,22.11,4.97
2001,21.79,21.82,4.88
2002,22.46,23.73,4.97
2003,22.44,22.56,4.96
2004,22.29,23.71,5.21
2005,22.9,24.3,5.02
2006,22.26,22.83,5.47
2007,22.49,23.48,5.28
2008,22.23,23.03,5.07
2009,22.69,22.91,4.95
2010,22.08,22.86,4.99
2011,21.77,22.36,5.05
2012,22.02,22.9,5.27
2013,22.14,21.34,5.63
