year,mean,median,standard deviation
1832,23.86,23.93,0.78
1833,24.52,24.44,1.2
1834,24.35,24.38,0.98
1835,23.54,23.53,1.14
1836,23.92,23.74,1.0
1837,23.61,23.71,1.06
1838,23.73,23.6,0.83
1839,23.8,23.73,0.9
1840,24.1,24.13,0.67
1841,23.93,23.94,0.56
1842,24.32,24.53,1.03
1843,24.44,24.59,1.27
1845,24.01,24.19,0.88
1846,24.82,24.59,1.02
1847,24.2,23.99,1.0
1848,24.16,24.19,0.88
1849,24.23,24.07,0.99
1850,24.21,24.47,0.82
1851,24.34,24.36,0.71
1852,24.36,24.44,0.74
1853,24.37,24.4,0.64
1854,24.47,24.42,0.79
1855,24.49,24.65,0.84
1856,23.97,24.15,0.65
1857,24.01,24.3,0.93
1858,23.99,24.05,0.9
1859,24.37,24.56,0.86
1860,24.42,24.47,0.75
1861,24.1,24.48,0.8
1862,23.92,24.02,0.65
1863,24.19,24.45,0.86
1864,24.13,24.33,0.6
1865,24.23,24.03,0.79
1866,24.34,24.16,0.83
1867,24.49,24.59,0.84
1868,24.61,24.59,0.65
1869,24.75,24.66,0.67
1870,24.54,24.61,0.59
1871,24.44,24.74,0.76
1872,24.44,24.77,0.87
1873,24.74,24.82,0.65
1874,24.38,24.55,0.76
1875,23.91,24.11,0.76
1876,24.22,24.42,0.73
1877,24.84,24.93,0.76
1878,25.01,25.15,1.01
1879,24.15,24.25,0.84
1880,24.34,24.45,0.55
1881,24.43,24.72,0.87
1882,24.07,24.17,0.94
1883,24.09,24.24,0.75
1884,23.96,24.33,0.82
1885,24.31,24.22,0.89
1886,24.01,24.46,0.99
1887,24.28,24.32,0.83
1888,24.55,24.47,1.13
1889,24.64,25.04,1.07
1890,24.08,24.47,0.95
1891,24.26,24.44,0.81
1892,24.15,24.57,0.99
1893,23.91,24.03,0.81
1894,24.33,24.93,1.17
1895,24.47,24.66,0.85
1896,24.59,24.76,1.0
1897,24.47,24.95,1.09
1898,24.37,24.54,0.8
1899,24.45,24.69,0.97
1900,24.9,25.17,0.77
1901,24.78,24.98,0.76
1902,24.71,24.8,0.68
1903,24.57,24.93,0.76
1904,24.0,24.46,0.85
1905,24.74,24.69,0.75
1906,24.52,24.76,0.81
1907,24.34,24.8,1.01
1908,24.52,24.8,0.81
1909,24.41,24.9,0.96
1910,24.42,24.75,0.76
1911,24.29,24.41,0.98
1912,24.48,24.74,0.85
1913,24.6,24.81,0.82
1914,24.9,25.28,0.77
1915,25.12,25.41,0.96
1916,24.44,24.72,1.02
1917,23.8,24.26,1.01
1918,24.31,24.4,0.86
1919,24.84,25.15,0.83
1920,24.41,24.78,1.03
1921,24.28,24.84,1.21
1922,24.5,24.75,0.83
1923,24.36,24.8,1.02
1924,24.43,24.82,0.95
1925,24.54,24.83,0.89
1926,25.01,25.48,1.02
1927,24.7,25.18,1.14
1928,24.94,25.32,0.92
1929,24.64,25.06,1.0
1930,24.84,25.18,0.77
1931,24.8,25.29,1.05
1932,24.97,25.34,0.82
1933,24.61,25.13,1.02
1934,24.65,24.91,0.77
1935,24.85,25.2,0.9
1936,25.06,25.34,0.84
1937,25.05,25.47,0.87
1938,24.87,25.24,0.82
1939,24.93,25.1,0.84
1940,25.11,25.29,0.67
1941,25.2,25.72,0.9
1942,24.88,25.25,1.22
1943,24.56,24.84,0.86
1944,24.9,25.4,0.88
1945,24.72,25.22,1.04
1946,24.97,25.28,0.84
1947,24.7,24.94,0.82
1948,24.85,25.15,0.67
1949,24.62,24.98,0.86
1950,24.64,24.9,0.72
1951,24.8,25.28,0.99
1952,24.85,25.27,0.99
1953,25.0,25.5,1.01
1954,24.97,25.38,0.89
1955,24.77,25.23,0.96
1956,24.48,25.08,0.98
1957,24.8,24.96,0.91
1958,25.27,25.64,0.81
1959,25.16,25.48,0.76
1960,24.75,25.33,0.94
1961,25.15,25.36,0.97
1962,24.84,25.35,1.11
1963,25.17,25.46,1.17
1964,24.73,25.07,0.96
1965,24.98,24.99,0.84
1966,25.09,25.33,0.88
1967,25.01,25.27,0.85
1968,24.63,24.97,1.04
1969,25.28,25.63,0.86
1970,25.19,25.52,0.8
1971,24.61,24.91,0.85
1972,25.1,25.14,0.72
1973,25.17,25.28,0.82
1974,24.58,24.77,0.75
1975,24.68,25.18,0.89
1976,24.72,24.86,0.72
1977,25.13,25.42,0.71
1978,24.93,25.21,0.85
1979,24.94,25.13,0.87
1980,25.15,25.32,0.68
1981,24.98,25.27,0.95
1982,25.23,25.44,0.68
1983,25.35,25.52,0.78
1984,25.11,25.3,0.82
1985,24.97,25.36,0.95
1986,25.13,25.36,0.76
1987,25.56,25.77,0.81
1988,25.18,25.61,1.1
1989,24.87,25.26,0.85
1990,25.27,25.62,1.03
1991,25.29,25.66,0.85
1992,25.25,25.56,0.75
1993,25.35,25.63,0.85
1994,25.45,25.57,0.91
1995,25.55,25.86,0.73
1996,25.34,25.74,0.94
1997,25.56,25.45,1.03
1998,25.96,26.16,0.82
1999,25.29,25.76,0.82
2000,25.2,25.41,0.86
2001,25.5,25.85,0.87
2002,25.8,25.87,0.79
2003,25.62,25.87,0.77
2004,25.5,25.86,0.94
2005,25.81,25.79,0.74
2006,25.52,26.01,0.88
2007,25.67,26.02,0.91
2008,25.41,25.56,0.9
2009,25.6,25.83,0.99
2010,25.81,26.12,0.87
2011,25.43,25.6,0.69
2012,25.72,25.66,0.92
2013,25.35,25.18,0.81
