year,mean,median,standard deviation
1820,5.01,5.62,10.46
1821,6.28,6.93,9.66
1822,6.34,6.92,10.17
1823,7.02,7.4,10.01
1833,6.04,6.44,10.15
1834,6.27,6.84,10.4
1835,5.43,6.45,9.77
1836,5.36,6.92,10.42
1837,8.14,9.64,10.65
1838,5.72,7.08,10.93
1839,5.52,6.46,10.75
1840,6.02,6.69,10.6
1841,5.51,6.43,10.72
1842,6.28,7.41,9.84
1843,6.41,7.29,9.8
1844,6.05,6.98,10.04
1845,6.02,6.88,10.57
1846,6.59,6.42,10.12
1847,6.26,7.25,10.04
1848,5.94,6.73,10.38
1849,6.1,6.66,10.08
1850,5.91,6.42,10.42
1851,5.78,5.99,10.48
1852,5.86,6.95,10.63
1853,6.0,6.31,10.97
1854,6.47,7.54,10.57
1855,6.52,7.81,10.29
1856,6.1,7.02,10.43
1857,5.96,6.82,10.13
1858,6.41,7.7,10.1
1859,6.54,7.92,10.26
1860,5.61,6.75,10.89
1861,5.87,7.36,10.9
1862,5.45,6.64,11.09
1863,6.44,6.87,9.97
1864,5.8,7.11,10.5
1865,6.24,7.35,10.62
1866,6.41,7.05,10.11
1867,6.76,7.9,10.02
1868,6.42,8.01,10.38
1869,6.47,7.46,10.45
1870,6.16,7.56,10.98
1871,6.37,7.81,10.75
1872,6.29,7.22,10.64
1873,6.59,7.71,10.35
1874,6.65,8.13,10.58
1875,6.5,7.22,10.5
1876,6.35,7.8,10.64
1877,6.18,7.07,10.81
1878,6.41,7.72,10.81
1879,6.67,7.48,10.36
1880,6.38,7.54,10.46
1881,6.35,7.68,10.56
1882,6.4,7.72,10.43
1883,6.03,7.33,10.63
1884,5.8,6.69,10.48
1885,5.96,7.11,10.61
1886,6.11,7.43,10.63
1887,6.2,7.89,10.68
1888,6.34,7.12,10.41
1889,6.31,7.39,10.59
1890,6.46,7.35,10.05
1891,6.36,7.22,10.33
1892,6.06,7.48,10.63
1893,6.11,7.77,10.95
1894,6.58,7.8,10.49
1895,6.04,7.71,10.66
1896,6.39,7.15,10.5
1897,6.23,7.91,10.77
1898,6.56,7.84,10.38
1899,6.6,7.29,10.37
1900,6.44,7.59,10.88
1901,6.54,7.73,10.61
1902,6.74,7.53,9.86
1903,6.17,7.14,10.39
1904,6.35,6.74,10.31
1905,5.76,5.97,10.53
1906,6.22,7.59,10.64
1907,6.31,7.66,10.36
1908,6.29,7.34,10.59
1909,6.38,7.54,10.47
1910,6.07,7.42,10.66
1911,6.3,7.58,10.37
1912,6.08,7.01,10.43
1913,6.14,7.32,10.42
1914,6.82,7.5,10.08
1915,6.49,7.49,10.23
1916,6.35,7.39,10.54
1917,6.16,7.12,10.87
1918,6.2,7.55,10.58
1919,6.61,7.68,10.72
1920,6.59,8.24,10.55
1921,6.5,7.34,10.11
1922,6.68,8.06,10.49
1923,6.56,7.52,10.42
1924,6.7,7.89,10.42
1925,6.56,7.64,10.47
1926,6.75,7.37,10.36
1927,6.67,7.87,10.43
1928,6.77,8.06,10.47
1929,6.42,7.78,10.76
1930,6.47,7.55,10.74
1931,6.38,7.86,10.58
1932,6.91,8.0,10.26
1933,6.63,7.34,10.69
1934,6.36,6.51,10.42
1935,6.64,8.01,10.7
1936,6.11,7.74,10.87
1937,6.51,7.85,10.55
1938,6.87,8.89,10.57
1939,7.03,7.68,10.32
1940,6.96,8.11,9.89
1941,7.35,8.62,10.04
1942,7.1,8.26,10.39
1943,7.05,7.81,10.42
1944,6.53,7.5,11.0
1945,6.84,8.72,11.01
1946,7.35,9.22,10.18
1947,6.77,7.98,10.62
1948,7.1,8.47,10.15
1949,6.98,8.25,10.22
1950,6.64,7.43,10.4
1951,6.87,7.67,10.45
1952,6.64,7.86,10.59
1953,7.02,7.63,10.45
1954,6.37,7.77,10.56
1955,6.7,7.14,10.4
1956,6.3,7.97,10.75
1957,6.39,7.39,10.22
1958,7.03,8.06,10.0
1959,7.04,8.81,10.24
1960,6.89,7.14,10.1
1961,7.05,8.35,10.43
1962,6.7,7.52,10.33
1963,7.05,7.52,10.29
1964,6.75,8.6,10.48
1965,6.8,8.03,10.08
1966,6.96,7.64,10.05
1967,6.4,7.62,10.89
1968,6.73,7.41,10.19
1969,6.46,8.17,10.67
1970,6.57,7.61,10.36
1971,6.85,7.96,10.13
1972,6.81,7.44,10.19
1973,7.21,8.13,9.87
1974,6.66,8.25,10.49
1975,7.1,8.53,10.3
1976,6.47,7.5,9.9
1977,6.85,8.4,10.47
1978,7.05,8.27,10.45
1979,7.07,8.21,9.65
1980,6.95,7.64,10.12
1981,6.93,7.87,10.4
1982,7.15,8.43,9.89
1983,6.93,7.94,10.21
1984,6.52,7.83,10.58
1985,6.74,8.49,10.4
1986,6.87,7.3,10.09
1987,7.25,8.16,9.67
1988,7.22,8.2,10.05
1989,7.24,8.42,9.83
1990,7.64,8.13,9.72
1991,7.1,7.85,10.05
1992,6.86,8.02,9.85
1993,6.92,7.73,9.77
1994,7.5,8.14,10.06
1995,7.21,8.05,10.12
1996,6.96,7.78,10.08
1997,7.37,8.26,10.07
1998,8.05,9.96,9.97
1999,7.84,8.89,9.76
2000,7.24,8.11,10.59
2001,7.6,8.65,10.32
2002,7.8,8.34,9.74
2003,7.52,8.59,9.83
2004,7.71,8.97,9.76
2005,7.41,8.89,10.58
2006,7.95,9.24,10.04
2007,8.13,8.65,9.77
2008,7.57,9.12,10.43
2009,7.81,9.61,10.05
2010,7.55,7.67,10.21
2011,7.36,9.0,10.63
2012,7.08,8.71,10.8
2013,9.3,11.7,11.1
