year,mean,median,standard deviation
1811,18.87,17.88,4.96
1819,21.63,23.01,6.39
1820,21.91,22.52,6.61
1821,22.05,22.57,5.77
1822,21.51,22.25,6.26
1823,19.82,18.48,5.75
1824,22.75,23.07,6.31
1825,22.39,22.84,6.22
1826,22.36,22.71,6.26
1827,22.98,23.57,6.04
1828,22.36,23.04,6.99
1829,22.29,23.54,6.28
1830,22.65,22.68,5.97
1831,21.87,22.12,6.39
1832,21.68,22.63,6.39
1833,22.22,22.62,6.31
1834,22.07,22.61,6.51
1835,21.52,22.6,5.96
1836,21.94,22.71,6.11
1837,21.65,21.66,6.21
1838,21.71,22.4,6.57
1839,20.3,19.9,6.15
1840,22.04,22.36,6.64
1841,22.18,22.79,6.56
1842,22.34,23.36,6.04
1843,22.27,22.97,6.05
1844,22.03,22.71,6.35
1845,22.22,22.7,6.38
1846,22.88,23.07,6.15
1847,22.45,23.22,6.4
1848,22.17,23.04,6.35
1849,22.24,23.27,6.47
1850,21.81,22.71,6.55
1851,22.36,22.95,6.54
1852,22.32,23.24,6.39
1853,22.76,23.3,6.37
1854,22.16,23.07,6.53
1855,22.47,23.09,5.92
1856,21.9,22.33,6.51
1857,21.7,22.34,6.04
1858,22.31,23.47,6.19
1859,22.33,23.93,6.47
1860,22.72,24.02,6.86
1861,21.74,22.47,6.65
1862,21.65,22.31,6.57
1863,22.12,22.67,6.69
1864,22.6,23.58,6.27
1865,22.79,23.5,6.03
1866,22.71,23.5,6.26
1867,22.77,24.06,6.28
1868,22.29,23.63,6.81
1869,22.72,22.63,6.47
1870,22.63,22.22,6.28
1871,22.21,23.29,6.33
1872,22.51,23.15,6.19
1873,22.68,23.75,6.13
1874,22.24,23.5,6.43
1875,21.52,22.08,6.57
1876,22.35,23.65,6.31
1877,22.69,24.06,6.38
1878,22.91,23.79,6.61
1879,22.66,23.58,6.23
1880,22.63,23.75,6.86
1881,22.93,24.42,6.14
1882,21.9,22.74,6.51
1883,22.09,22.98,6.48
1884,21.73,23.21,6.65
1885,22.26,22.86,6.3
1886,21.94,22.99,6.46
1887,22.46,24.41,6.69
1888,22.26,23.52,6.6
1889,22.48,23.52,6.44
1890,22.54,23.49,6.51
1891,22.54,23.68,6.66
1892,22.6,24.07,6.19
1893,22.05,22.51,6.56
1894,22.28,23.35,6.37
1895,22.33,23.06,6.22
1896,22.53,23.29,6.5
1897,22.24,23.24,6.64
1898,22.54,24.33,6.66
1899,22.48,23.18,6.5
1900,22.8,23.78,6.15
1901,23.18,24.3,5.98
1902,22.62,23.88,6.38
1903,22.05,23.14,6.4
1904,21.97,23.16,6.22
1905,22.39,23.88,7.02
1906,22.76,23.67,6.16
1907,21.94,22.73,6.34
1908,21.99,23.12,6.42
1909,22.91,22.66,6.35
1910,22.04,23.15,6.57
1911,22.18,23.23,6.4
1912,22.0,23.0,6.2
1913,21.79,23.41,6.54
1914,22.51,22.16,6.15
1915,23.14,23.72,5.88
1916,23.1,23.12,6.27
1917,22.39,23.09,5.65
1918,22.72,24.07,6.37
1919,22.83,23.94,5.68
1920,22.09,23.51,6.71
1921,22.35,23.45,6.61
1922,22.7,24.12,6.4
1923,22.67,22.83,6.14
1924,22.95,24.1,6.37
1925,22.81,23.68,6.48
1926,22.52,23.21,6.22
1927,22.97,23.65,6.53
1928,23.19,24.31,6.26
1929,22.55,22.78,6.8
1930,23.0,23.99,6.3
1931,23.04,23.87,6.38
1932,22.68,23.64,6.36
1933,22.7,22.54,5.71
1934,22.86,24.08,6.46
1935,22.83,23.58,6.25
1936,23.35,25.05,5.93
1937,23.14,24.25,6.33
1938,22.52,23.6,6.31
1939,23.25,24.5,6.37
1940,23.0,24.59,6.38
1941,23.23,23.19,6.25
1942,23.02,24.45,6.04
1943,22.61,24.23,6.18
1944,22.78,24.17,6.31
1945,22.26,22.47,6.92
1946,23.05,23.64,6.32
1947,23.32,23.69,6.1
1948,22.14,22.53,6.42
1949,21.89,22.14,6.48
1950,22.68,23.93,6.29
1951,23.07,24.26,6.72
1952,23.26,24.43,6.34
1953,22.67,23.66,6.82
1954,22.66,23.16,6.56
1955,23.4,24.35,6.13
1956,22.98,23.02,6.23
1957,23.04,24.04,6.7
1958,23.3,24.28,5.93
1959,22.28,22.96,6.63
1960,23.62,25.18,5.79
1961,22.23,22.81,6.59
1962,23.5,24.13,6.34
1963,23.65,25.19,6.23
1964,22.47,23.7,6.31
1965,22.76,23.08,6.35
1966,23.37,24.71,6.48
1967,22.28,23.36,6.61
1968,22.74,22.94,6.78
1969,23.4,23.83,6.23
1970,22.71,23.37,6.01
1971,22.68,22.52,5.96
1972,22.85,24.64,6.65
1973,22.74,23.9,6.14
1974,22.69,25.09,6.47
1975,22.58,24.16,6.23
1976,22.86,24.66,6.33
1977,22.67,22.39,6.57
1978,22.95,24.74,6.43
1979,23.56,25.09,6.31
1980,23.07,24.19,6.44
1981,22.85,25.17,6.83
1982,22.45,24.87,6.66
1983,22.09,22.35,6.93
1984,22.88,24.09,6.28
1985,23.21,23.0,6.0
1986,22.9,23.82,6.52
1987,22.85,22.33,6.4
1988,23.24,23.57,6.97
1989,22.79,24.52,7.22
1990,23.09,24.6,6.05
1991,23.09,25.07,6.49
1992,22.55,23.93,7.23
1993,23.39,25.34,6.56
1994,23.24,25.72,6.63
1995,23.17,23.55,6.97
1996,23.43,23.26,6.43
1997,22.94,23.35,6.72
1998,23.68,25.16,6.84
1999,23.78,24.37,6.42
2000,22.88,23.88,6.62
2001,23.62,24.23,6.54
2002,23.72,24.35,6.79
2003,23.5,24.67,6.86
2004,23.51,24.44,6.4
2005,23.52,24.06,6.38
2006,23.51,24.23,6.64
2007,23.58,24.65,6.66
2008,23.91,24.49,6.86
2009,23.74,25.26,6.37
2010,25.15,26.14,6.0
2011,23.33,23.74,6.5
2012,23.77,25.55,6.97
2013,24.51,25.86,6.37
