year,mean,median,standard_deviation
1743,-3.57,-3.57,
1744,3.47,3.0,8.23
1745,-9.08,-10.62,4.68
1750,2.23,1.01,9.96
1751,2.08,3.55,11.71
1752,-4.4,-3.54,5.48
1753,1.12,1.62,10.29
1754,1.24,1.87,9.9
1755,1.03,1.1,10.74
1756,1.42,0.48,9.28
1757,1.7,-0.27,11.29
1758,-0.34,-2.02,10.33
1759,1.01,-0.58,9.9
1760,-0.29,-2.02,10.99
1761,1.57,-0.87,10.84
1762,1.13,-1.04,8.88
1763,0.47,-1.14,10.58
1764,1.35,0.53,8.95
1765,0.9,0.52,9.12
1766,1.89,1.56,10.08
1767,1.0,0.29,10.53
1768,0.31,-1.53,10.49
1769,1.02,-0.94,10.07
1770,0.95,1.62,10.43
1771,0.55,-0.8,10.83
1772,0.77,1.63,10.57
1773,2.08,2.32,10.18
1774,0.98,0.75,11.71
1775,2.53,1.9,10.1
1776,1.65,0.5,10.47
1777,0.94,-0.78,9.58
1778,1.02,-0.54,9.87
1779,2.32,2.1,9.66
1780,0.92,1.66,10.13
1781,1.02,0.13,10.34
1782,0.78,0.34,10.5
1783,1.23,1.53,10.44
1784,0.2,0.43,10.4
1785,-0.03,-1.23,10.49
1786,0.43,0.23,11.2
1787,1.21,0.99,9.91
1788,0.6,0.72,11.71
1789,1.63,0.19,11.33
1790,1.23,-1.81,8.6
1791,1.9,0.06,8.64
1792,1.2,-0.28,10.64
1793,1.53,1.4,9.79
1794,2.27,2.48,9.15
1795,0.68,0.96,10.27
1796,1.69,1.4,10.08
1797,2.37,0.78,8.71
1798,2.1,1.11,10.17
1799,0.79,0.87,10.69
1800,0.87,1.68,9.22
1801,1.25,1.03,9.65
1802,0.63,1.67,9.6
1803,0.53,1.49,11.51
1804,0.73,1.9,11.69
1805,0.17,-2.12,10.4
1806,1.31,0.26,9.64
1807,0.57,-1.99,10.09
1808,0.93,0.04,10.82
1809,-0.47,-1.68,11.9
1810,-0.7,-1.85,10.1
1811,0.88,-2.15,9.72
1812,-0.39,-0.83,10.17
1813,1.21,-0.47,10.16
1814,0.03,-0.28,11.64
1815,1.42,1.11,9.22
1816,0.39,-0.04,10.48
1817,0.23,-0.95,10.5
1818,1.41,-0.19,9.38
1819,1.01,-1.33,11.37
1820,0.41,0.63,11.55
1821,0.99,2.63,9.14
1822,2.91,2.17,8.0
1823,1.14,1.0,10.33
1824,1.18,-0.7,9.15
1825,1.76,1.27,8.64
1826,3.18,1.73,9.66
1827,1.38,0.34,9.67
1828,0.75,0.52,10.79
1829,-0.41,-1.85,11.42
1830,1.08,0.2,9.41
1831,0.93,0.61,10.91
1832,1.84,2.06,7.78
1833,1.16,1.08,9.54
1834,0.87,0.31,10.5
1835,0.33,0.37,9.87
1836,0.35,1.19,8.97
1837,0.73,-0.36,9.13
1838,-0.43,-0.94,10.97
1839,0.57,-0.45,10.82
1840,0.29,-0.44,9.9
1841,1.31,0.8,9.88
1842,1.49,-1.26,9.25
1843,1.28,-1.58,9.07
1844,0.01,0.58,11.1
1845,0.41,-1.03,10.32
1846,1.47,2.01,10.76
1847,1.35,0.1,10.17
1848,1.09,0.59,9.49
1849,0.44,-0.77,9.98
1850,0.51,-0.03,10.65
1851,1.59,1.39,9.62
1852,0.42,-2.97,10.53
1853,1.58,0.23,10.06
1854,1.64,0.59,10.35
1855,0.17,0.4,10.96
1856,-0.95,-0.61,10.06
1857,0.91,-0.03,9.19
1858,2.04,0.43,10.16
1859,1.88,-0.53,8.93
1860,0.57,0.69,10.89
1861,1.2,0.75,10.78
1862,-0.63,0.82,10.74
1863,2.53,1.83,8.42
1864,0.19,-1.8,9.62
1865,0.47,-0.59,9.92
1866,0.54,0.63,10.61
1867,-1.54,-1.64,10.93
1868,1.22,0.86,10.65
1869,1.62,0.33,8.96
1870,0.46,0.41,10.64
1871,-0.62,-0.7,10.86
1872,1.78,1.91,9.41
1873,1.24,-0.59,9.87
1874,1.53,1.96,8.79
1875,-0.59,-1.69,11.09
1876,0.14,-0.25,11.11
1877,-0.02,0.56,9.74
1878,1.91,2.36,8.89
1879,0.73,0.05,10.13
1880,0.7,-2.22,9.81
1881,-0.48,-1.23,10.46
1882,1.94,1.08,9.83
1883,2.1,1.37,9.44
1884,1.26,0.63,9.17
1885,0.43,-0.88,9.15
1886,1.49,1.51,10.14
1887,1.71,-0.42,8.97
1888,-0.87,-1.93,10.42
1889,1.81,1.55,9.79
1890,2.19,0.27,8.66
1891,1.26,1.09,8.71
1892,-0.31,-0.97,9.9
1893,-0.74,0.63,11.17
1894,2.36,0.86,8.81
1895,0.85,0.69,10.55
1896,1.81,1.04,9.71
1897,1.59,2.13,10.44
1898,1.19,-0.16,9.77
1899,-0.27,-0.24,10.32
1900,0.0,0.19,9.96
1901,1.59,2.88,11.14
1902,-0.96,-2.6,9.26
1903,1.88,-0.71,8.27
1904,0.56,1.99,9.42
1905,1.5,-0.91,9.19
1906,1.85,1.55,9.04
1907,1.01,2.17,9.7
1908,1.17,1.66,9.13
1909,1.1,-0.22,9.3
1910,2.13,0.83,8.03
1911,1.76,-0.44,8.97
1912,0.29,-1.68,10.51
1913,1.69,0.74,9.48
1914,1.9,0.68,9.32
1915,-0.86,-0.12,11.05
1916,1.09,-0.72,8.89
1917,0.29,0.71,11.35
1918,1.4,2.5,9.44
1919,0.68,-0.33,10.73
1920,3.02,1.28,9.0
1921,1.64,2.09,9.7
1922,1.06,-0.02,10.09
1923,0.87,0.17,8.88
1924,1.86,1.31,9.81
1925,1.86,0.55,9.81
1926,0.55,-1.28,10.15
1927,0.88,-0.8,10.36
1928,1.17,0.32,8.3
1929,1.3,1.37,9.57
1930,2.72,1.63,8.92
1931,1.19,0.48,9.47
1932,2.46,0.61,8.54
1933,1.36,0.62,9.8
1934,3.47,1.66,8.88
1935,2.09,1.39,8.37
1936,2.3,-0.07,10.45
1937,2.97,3.48,10.5
1938,3.83,2.44,8.82
1939,1.99,-0.62,9.38
1940,0.38,0.4,11.63
1941,-0.7,-2.16,11.52
1942,-0.09,1.0,11.24
1943,3.09,2.02,8.77
1944,2.5,1.26,8.37
1945,1.26,-0.03,10.0
1946,1.89,0.36,9.77
1947,1.07,0.81,11.34
1948,2.36,2.02,9.26
1949,3.05,1.56,7.87
1950,2.21,3.22,9.76
1951,1.6,2.63,9.74
1952,1.14,0.04,8.84
1953,2.73,2.95,9.58
1954,2.28,0.57,9.56
1955,-0.16,-0.83,11.26
1956,-0.02,-1.34,10.43
1957,2.06,1.12,8.98
1958,0.57,1.72,10.3
1959,2.59,0.83,9.07
1960,1.78,-0.22,10.72
1961,3.03,2.74,9.09
1962,1.0,2.56,9.27
1963,1.29,1.84,11.09
1964,1.91,2.15,9.13
1965,0.89,1.38,9.51
1966,-0.26,-0.09,11.94
1967,2.01,2.25,10.57
1968,0.49,-0.97,10.24
1969,0.53,1.17,10.88
1970,1.17,0.03,10.88
1971,0.86,-0.37,9.56
1972,2.82,0.95,9.78
1973,1.71,-0.48,9.93
1974,3.36,1.34,8.19
1975,3.0,1.27,8.2
1976,0.41,-0.83,9.84
1977,1.17,-0.02,9.18
1978,0.12,-0.25,10.81
1979,1.41,-0.72,10.28
1980,0.88,1.49,10.97
1981,0.84,1.1,10.19
1982,1.81,0.98,9.22
1983,2.0,2.4,9.69
1984,2.43,2.39,9.08
1985,-0.49,0.76,12.46
1986,1.18,1.71,10.75
1987,-0.16,2.5,10.93
1988,1.86,0.31,10.43
1989,3.67,2.34,8.41
1990,2.94,2.6,8.32
1991,2.33,2.17,8.94
1992,2.65,-1.87,8.4
1993,1.78,-0.08,8.17
1994,1.77,2.13,9.97
1995,2.35,2.01,9.17
1996,1.69,1.77,9.47
1997,2.23,-0.88,9.73
1998,1.23,0.83,9.65
1999,2.32,3.15,10.07
2000,3.59,3.95,8.35
2001,2.1,2.59,10.21
2002,2.23,0.59,10.45
2003,2.5,0.74,9.98
2004,2.61,2.09,9.11
2005,3.23,2.98,9.3
2006,2.89,2.14,10.05
2007,3.09,3.22,9.37
2008,3.2,2.7,7.25
2009,2.44,0.34,9.35
2010,1.14,2.47,11.69
2011,3.54,3.86,10.28
2012,1.91,1.34,9.77
2013,4.06,5.44,11.49
