year,mean,median,standard deviation
1743,10.2,10.2,
1744,13.61,13.66,3.87
1745,7.95,7.31,2.72
1750,13.33,11.89,5.05
1751,13.43,13.39,5.75
1752,9.86,10.61,2.45
1753,12.77,12.49,5.53
1754,12.67,13.37,5.48
1755,12.34,13.7,5.92
1756,12.71,11.8,5.18
1757,12.52,11.02,6.23
1758,11.74,10.65,5.09
1759,12.84,12.87,5.35
1760,12.59,13.08,5.13
1761,12.91,11.56,6.0
1762,12.62,12.59,5.51
1763,12.21,11.3,5.25
1764,12.77,11.48,4.3
1765,12.67,12.64,4.74
1766,12.56,12.93,5.75
1767,12.54,12.34,5.36
1768,12.21,12.51,5.19
1769,12.53,11.13,4.98
1770,12.38,11.7,4.72
1771,12.62,11.48,5.09
1772,13.49,13.0,4.81
1773,12.65,12.74,4.87
1774,12.88,12.67,5.56
1775,13.27,12.6,4.62
1776,12.67,12.68,5.17
1777,12.53,12.16,4.88
1778,13.07,12.86,5.03
1779,13.42,14.23,5.1
1780,13.23,13.34,5.84
1781,13.47,12.79,4.88
1782,12.05,11.33,5.99
1783,13.06,12.92,5.08
1784,12.14,10.32,6.1
1785,12.05,11.21,5.79
1786,12.35,11.84,5.27
1787,12.88,12.4,4.78
1788,13.01,12.8,5.65
1789,12.29,11.93,5.21
1790,12.96,12.26,4.78
1791,13.08,13.2,4.79
1792,12.89,13.47,4.76
1793,12.95,12.4,5.25
1794,13.25,13.56,4.87
1795,12.76,13.8,5.53
1796,12.69,12.49,5.26
1797,12.86,12.21,4.91
1798,12.92,12.89,5.23
1799,11.89,11.58,5.41
1800,13.0,13.26,5.06
1801,13.11,12.72,4.5
1802,13.12,13.46,5.49
1803,12.62,12.95,5.56
1804,13.09,12.56,5.25
1805,11.89,10.92,5.14
1806,13.27,11.84,4.45
1807,12.63,12.44,5.76
1808,11.79,10.19,5.98
1809,12.02,10.66,4.57
1810,12.03,11.93,4.91
1811,12.95,13.4,5.03
1812,11.56,11.18,5.51
1813,12.11,12.5,4.75
1814,11.63,11.72,5.04
1815,12.27,12.31,5.06
1816,11.29,11.74,4.46
1817,12.31,10.4,4.38
1818,12.92,12.69,4.91
1819,12.68,12.75,4.79
1820,12.11,12.39,5.21
1821,12.87,12.6,4.19
1822,13.54,13.08,5.11
1823,12.3,11.42,4.94
1824,12.83,12.06,4.62
1825,13.13,13.01,4.88
1826,12.83,12.84,5.5
1827,12.63,13.2,5.36
1828,13.24,12.81,4.53
1829,11.57,11.66,5.61
1830,12.32,13.02,5.46
1831,12.82,13.53,4.7
1832,12.42,12.38,5.08
1833,12.62,11.82,4.62
1834,13.55,12.33,5.04
1835,12.26,11.52,5.1
1836,12.42,12.02,5.02
1837,12.08,10.93,5.33
1838,11.93,11.45,5.54
1839,12.53,11.74,4.88
1840,12.13,11.9,5.37
1841,12.5,12.24,4.93
1842,12.37,10.87,5.57
1843,12.65,12.42,4.39
1844,12.26,13.11,5.2
1845,12.05,12.49,5.04
1846,13.4,12.3,5.57
1847,12.35,11.72,5.22
1848,12.52,12.62,5.24
1849,12.62,11.79,4.99
1850,12.22,11.54,4.97
1851,12.04,12.32,5.1
1852,13.04,12.11,4.6
1853,11.83,12.01,5.36
1854,12.44,13.0,4.89
1855,11.76,12.31,5.61
1856,12.62,12.72,4.78
1857,12.82,12.39,5.37
1858,12.38,13.29,5.61
1859,13.11,13.17,5.64
1860,11.75,11.48,4.83
1861,12.66,12.82,5.29
1862,12.94,13.61,4.67
1863,12.93,13.07,4.62
1864,12.09,12.15,5.37
1865,12.96,14.03,5.68
1866,13.05,12.95,4.2
1867,12.66,12.38,4.9
1868,13.27,12.13,5.37
1869,12.7,12.51,4.97
1870,12.32,12.62,5.78
1871,12.01,12.6,5.73
1872,13.05,12.26,4.37
1873,12.71,12.04,4.96
1874,12.61,12.98,5.23
1875,12.52,12.06,5.37
1876,12.8,12.34,4.97
1877,12.88,11.85,4.58
1878,12.6,13.23,5.28
1879,11.61,11.08,5.2
1880,12.73,12.41,4.85
1881,12.54,11.41,5.13
1882,12.59,12.64,4.17
1883,12.22,11.82,4.65
1884,12.7,11.38,4.59
1885,12.26,11.33,4.91
1886,12.42,12.97,5.17
1887,11.64,10.26,5.62
1888,11.78,10.97,5.0
1889,11.94,11.51,5.35
1890,11.81,11.51,5.15
1891,12.0,12.06,5.15
1892,12.38,11.87,5.16
1893,12.94,13.95,5.49
1894,12.53,12.94,4.55
1895,12.42,12.46,5.8
1896,12.15,11.24,4.82
1897,12.93,12.2,4.66
1898,12.96,12.93,4.69
1899,13.14,12.86,4.82
1900,12.99,12.6,4.82
1901,12.33,12.65,5.65
1902,12.39,12.46,4.62
1903,12.59,12.21,4.53
1904,12.81,12.86,5.14
1905,12.42,11.23,5.16
1906,12.71,12.85,5.18
1907,12.51,12.24,4.8
1908,12.45,12.04,5.08
1909,12.11,13.43,4.86
1910,12.49,12.38,4.19
1911,13.16,11.98,5.52
1912,12.54,11.79,3.92
1913,12.91,12.83,4.17
1914,12.69,13.06,4.58
1915,12.62,11.42,4.73
1916,12.68,12.62,4.2
1917,11.92,10.73,5.95
1918,12.64,11.26,4.48
1919,12.25,10.59,4.96
1920,13.02,12.77,4.29
1921,13.39,13.43,5.03
1922,12.37,11.18,4.61
1923,12.83,12.92,4.8
1924,12.6,12.64,4.74
1925,12.46,12.62,4.67
1926,13.18,13.14,4.5
1927,12.82,12.86,4.55
1928,13.3,12.6,4.77
1929,12.66,12.04,5.7
1930,13.17,12.88,4.55
1931,12.53,12.13,4.76
1932,12.7,11.85,5.06
1933,12.69,13.17,5.68
1934,13.13,13.08,5.05
1935,12.8,12.17,5.01
1936,12.89,11.19,4.38
1937,13.3,12.96,4.77
1938,12.95,12.77,4.67
1939,12.74,12.43,4.47
1940,12.39,12.46,5.27
1941,12.33,11.8,5.02
1942,12.69,13.84,5.73
1943,13.52,14.0,4.82
1944,12.8,12.74,5.25
1945,13.4,14.0,5.44
1946,12.83,13.31,5.04
1947,13.63,13.79,5.98
1948,13.33,13.02,4.16
1949,13.7,14.09,5.2
1950,13.23,12.22,5.41
1951,12.95,12.16,4.49
1952,13.09,13.31,5.34
1953,13.14,13.31,5.0
1954,12.62,12.66,4.62
1955,13.04,12.62,4.8
1956,12.06,11.71,5.27
1957,13.1,12.97,4.49
1958,13.08,11.96,4.74
1959,13.68,13.22,4.89
1960,13.03,12.58,4.52
1961,13.7,14.1,4.54
1962,12.41,12.88,5.11
1963,12.07,12.81,5.72
1964,12.99,12.06,5.39
1965,12.5,12.74,4.57
1966,13.22,13.76,4.55
1967,13.09,13.01,4.83
1968,12.8,13.23,4.62
1969,12.83,13.36,5.14
1970,12.9,12.37,5.12
1971,12.87,13.63,5.16
1972,12.59,12.22,4.05
1973,12.89,11.57,5.37
1974,13.04,11.1,4.09
1975,12.96,12.07,4.86
1976,13.28,12.66,5.33
1977,13.02,12.71,3.92
1978,12.66,12.11,4.33
1979,12.84,12.8,4.85
1980,12.56,12.04,4.75
1981,13.08,13.03,4.7
1982,13.68,12.66,4.79
1983,13.49,12.79,5.34
1984,12.87,12.52,4.65
1985,12.63,13.4,5.56
1986,12.87,12.99,5.26
1987,12.96,13.72,5.48
1988,13.58,13.81,4.37
1989,13.93,13.43,4.89
1990,14.04,13.39,4.85
1991,13.14,12.39,5.32
1992,13.46,12.07,4.92
1993,13.15,12.71,4.64
1994,14.16,13.39,4.62
1995,13.9,14.1,4.89
1996,13.01,13.27,4.77
1997,14.1,13.45,4.83
1998,13.72,12.91,4.79
1999,13.9,13.42,5.01
2000,13.97,13.25,4.54
2001,13.7,13.99,5.02
2002,14.05,13.58,4.04
2003,14.34,12.98,5.89
2004,13.66,13.81,4.99
2005,13.69,14.55,5.52
2006,14.14,14.52,5.65
2007,13.9,14.53,4.34
2008,13.58,12.82,4.58
2009,13.94,13.9,5.36
2010,13.12,13.54,5.55
2011,14.48,15.08,4.47
2012,13.71,13.28,5.08
2013,13.58,13.04,5.92
