year,mean,median,standard deviation
1743,5.47,5.47,
1744,9.54,10.03,5.41
1745,1.17,0.16,4.23
1750,9.04,7.96,6.67
1751,8.93,9.44,8.15
1752,4.24,4.61,3.53
1753,8.03,8.56,7.46
1754,7.76,8.24,7.27
1755,7.52,9.15,8.25
1756,8.41,7.36,7.17
1757,8.11,6.55,7.89
1758,7.5,6.39,7.37
1759,8.41,8.47,7.46
1760,8.38,8.41,7.34
1761,8.6,6.81,7.7
1762,7.81,8.01,7.47
1763,7.71,6.52,7.33
1764,8.21,6.89,6.56
1765,7.88,8.48,6.92
1766,7.92,8.47,7.66
1767,7.44,7.02,7.8
1768,7.41,7.27,7.59
1769,7.79,6.14,6.6
1770,7.79,6.86,7.15
1771,7.11,5.97,7.66
1772,8.61,8.24,6.66
1773,8.62,8.76,6.58
1774,7.84,8.56,7.47
1775,8.95,7.77,7.2
1776,7.73,7.75,7.8
1777,7.69,7.18,7.23
1778,8.71,7.9,7.23
1779,9.47,10.4,7.04
1780,8.1,8.04,7.94
1781,9.17,8.52,7.61
1782,7.59,6.35,7.88
1783,8.87,8.86,7.63
1784,6.91,5.06,8.66
1785,6.76,6.13,7.93
1786,7.02,7.42,7.14
1787,8.38,8.18,6.68
1788,7.77,7.74,8.41
1789,7.96,8.05,7.63
1790,8.32,6.77,6.28
1791,8.63,8.93,6.61
1792,8.2,8.65,7.15
1793,8.41,8.13,6.95
1794,9.13,9.67,7.08
1795,8.04,10.8,8.1
1796,8.18,7.39,7.12
1797,9.02,8.66,7.0
1798,8.5,8.67,7.79
1799,6.31,6.47,8.07
1800,8.11,10.02,7.68
1801,8.81,8.88,6.63
1802,8.26,9.53,7.4
1803,7.35,8.69,7.88
1804,7.84,7.74,7.72
1805,6.47,5.37,7.27
1806,8.9,6.67,5.92
1807,8.5,7.71,7.63
1808,7.32,5.8,8.61
1809,7.86,5.5,7.03
1810,7.75,7.16,7.3
1811,9.14,9.82,7.95
1812,6.76,6.67,7.81
1813,7.68,7.96,6.63
1814,6.81,8.0,7.66
1815,7.63,8.22,6.99
1816,6.76,7.47,6.47
1817,7.95,5.01,6.57
1818,8.28,8.11,6.85
1819,8.59,8.03,7.32
1820,7.18,8.38,7.68
1821,8.22,9.17,6.17
1822,9.35,9.56,6.87
1823,7.6,7.18,7.6
1824,8.57,7.51,6.14
1825,8.71,8.6,6.51
1826,8.55,8.57,8.18
1827,8.15,9.3,8.18
1828,8.41,8.11,6.73
1829,5.9,7.09,8.69
1830,7.29,8.37,8.16
1831,8.46,10.71,7.08
1832,7.67,8.18,6.78
1833,8.11,6.88,6.88
1834,9.51,7.34,7.38
1835,7.96,6.94,7.17
1836,8.08,8.11,6.44
1837,7.3,6.62,6.98
1838,6.45,6.26,8.42
1839,7.97,7.04,7.2
1840,7.03,7.33,7.53
1841,8.37,9.0,7.12
1842,7.82,6.1,7.86
1843,8.28,7.98,6.02
1844,7.22,8.65,7.2
1845,7.12,8.26,7.83
1846,9.17,9.12,7.78
1847,7.48,6.19,7.71
1848,8.11,9.35,7.7
1849,7.56,7.25,6.93
1850,7.42,7.05,7.29
1851,7.58,8.62,6.5
1852,8.75,6.69,6.65
1853,6.87,6.82,8.08
1854,7.87,7.95,6.94
1855,6.46,8.04,8.59
1856,7.73,8.79,6.69
1857,8.5,8.64,7.63
1858,7.29,7.88,8.38
1859,8.86,8.27,7.51
1860,7.06,6.91,7.05
1861,8.09,7.58,7.62
1862,8.5,9.63,6.88
1863,8.89,9.09,5.96
1864,6.47,6.47,7.47
1865,8.22,9.25,8.22
1866,8.61,7.8,6.02
1867,7.79,7.6,6.89
1868,9.36,7.63,7.42
1869,8.14,8.36,6.77
1870,6.98,7.57,8.04
1871,6.58,6.36,8.01
1872,9.12,9.1,6.3
1873,8.41,7.81,6.72
1874,8.02,9.06,7.3
1875,7.52,6.62,8.2
