year,mean,median,standard deviation
1841,11.02,10.97,8.81
1842,11.45,11.48,8.06
1843,11.63,11.2,7.9
1844,11.22,11.14,8.41
1845,11.38,11.2,8.43
1846,11.82,11.22,8.42
1847,11.66,11.68,8.36
1848,11.6,11.91,8.39
1849,11.6,11.12,8.13
1850,11.12,10.75,8.44
1851,11.12,10.64,8.49
1852,11.12,10.86,8.82
1853,11.26,10.91,8.96
1854,11.69,11.98,8.75
1855,12.04,12.58,8.4
1856,11.49,11.51,8.72
1857,11.4,11.2,8.39
1858,11.69,12.47,8.41
1859,11.56,12.13,8.37
1860,11.1,11.64,9.23
1861,11.18,11.54,8.89
1862,11.18,11.61,8.85
1863,11.81,11.15,8.69
1864,11.44,11.94,8.84
1865,11.72,12.33,8.64
1866,11.23,11.01,8.59
1867,11.72,11.41,8.67
1868,11.64,12.13,8.41
1869,11.52,11.05,8.32
1870,11.57,11.6,8.75
1871,11.53,11.54,8.8
1872,11.46,11.6,8.8
1873,10.99,10.95,8.84
1874,11.75,11.8,8.73
1875,11.69,11.52,8.57
1876,11.95,12.16,8.91
1877,12.23,12.12,8.66
1878,11.66,11.94,8.94
1879,12.08,10.97,8.42
1880,11.86,11.94,8.49
1881,11.59,11.5,9.02
1882,11.74,12.04,8.22
1883,11.41,11.1,8.91
1884,10.54,10.68,8.72
1885,11.01,10.97,8.83
1886,11.92,12.21,9.14
1887,11.68,11.25,8.31
1888,11.62,11.91,8.39
1889,11.07,11.15,8.55
1890,12.84,12.8,8.02
1891,11.83,11.84,8.46
1892,11.54,11.99,9.3
1893,11.21,11.21,9.0
1894,12.45,12.29,8.87
1895,11.57,12.4,8.56
1896,11.68,12.37,8.64
1897,11.22,11.22,8.45
1898,11.9,11.79,8.39
1899,11.83,11.44,8.14
1900,11.47,11.98,8.8
1901,11.68,12.4,8.29
1902,11.52,11.89,7.78
1903,11.84,12.24,7.95
1904,11.77,12.33,8.62
1905,11.6,11.48,8.01
1906,11.18,11.74,8.38
1907,11.4,11.7,8.5
1908,11.1,11.67,8.39
1909,11.39,11.76,8.87
1910,11.38,11.84,8.46
1911,11.98,12.09,8.35
1912,11.45,11.64,8.01
1913,10.99,12.17,8.08
1914,12.49,12.17,8.27
1915,12.06,11.35,8.58
1916,12.55,12.2,8.56
1917,11.41,11.33,8.88
1918,11.61,11.72,8.83
1919,11.95,12.03,8.33
1920,12.21,12.13,8.58
1921,11.57,12.44,8.51
1922,12.08,12.48,9.14
1923,11.91,11.95,8.71
1924,11.64,12.38,9.04
1925,11.76,11.89,8.77
1926,11.3,10.43,8.6
1927,11.74,11.98,8.86
1928,12.06,12.43,8.74
1929,11.77,11.4,8.77
1930,12.29,12.69,8.61
1931,11.49,11.51,8.37
1932,11.98,11.68,8.14
1933,11.95,11.68,9.27
1934,11.5,10.95,8.61
1935,11.89,11.96,8.11
1936,11.55,11.37,9.04
1937,12.21,12.07,8.54
1938,12.08,12.65,8.79
1939,12.08,12.0,9.1
1940,11.99,12.5,8.59
1941,11.92,12.04,7.78
1942,12.0,12.01,9.07
1943,11.99,11.61,9.2
1944,11.69,11.68,9.43
1945,11.14,11.56,9.03
1946,12.36,12.46,9.03
1947,11.33,11.54,9.02
1948,12.8,13.22,8.35
1949,12.1,11.26,8.22
1950,12.59,12.25,8.69
1951,12.15,12.49,8.38
1952,11.94,12.43,8.73
1953,11.96,11.81,8.39
1954,12.22,12.5,7.8
1955,12.73,12.76,8.48
1956,12.02,12.81,8.5
1957,12.06,12.73,8.08
1958,12.57,12.4,8.03
1959,12.96,13.48,8.07
1960,12.6,12.41,8.39
1961,13.05,13.76,9.08
1962,12.47,12.5,8.39
1963,12.29,12.65,8.5
1964,12.35,13.12,8.45
1965,11.69,11.68,8.38
1966,12.13,12.3,8.23
1967,12.27,12.4,8.87
1968,12.19,12.0,8.12
1969,11.85,12.08,8.44
1970,11.93,12.23,8.93
1971,11.98,11.88,8.25
1972,12.59,12.75,7.92
1973,12.41,12.98,8.47
1974,11.79,12.54,8.5
1975,12.34,12.81,8.81
1976,11.75,12.06,7.92
1977,12.2,12.6,8.75
1978,12.51,11.99,9.13
1979,12.84,12.03,7.95
1980,11.8,12.12,8.2
1981,11.63,12.18,8.53
1982,12.34,12.64,8.06
1983,12.12,13.22,8.34
1984,11.66,11.44,9.45
1985,12.28,12.81,8.94
1986,11.69,11.82,8.63
1987,12.54,12.86,8.3
1988,11.97,12.19,8.28
1989,12.91,12.82,7.6
1990,13.59,13.58,8.18
1991,12.78,13.26,8.06
1992,12.48,12.54,7.65
1993,12.06,12.14,7.17
1994,13.23,13.75,8.86
1995,12.48,13.1,8.37
1996,12.08,11.84,8.2
1997,12.75,12.57,7.83
1998,13.24,14.85,8.21
1999,13.08,13.19,8.57
2000,12.83,12.75,8.71
2001,12.45,13.29,8.66
2002,12.84,13.66,8.02
2003,12.51,12.87,7.85
2004,13.44,13.24,8.17
2005,12.56,12.81,8.86
2006,12.76,13.05,8.35
2007,13.19,12.79,8.02
2008,12.87,13.39,8.27
2009,12.93,13.26,7.72
2010,13.22,12.23,8.7
2011,12.74,12.95,8.8
2012,12.57,13.14,9.13
2013,12.96,12.68,9.86
