year,mean,median,standard deviation
1857,16.45,16.37,4.41
1858,16.73,17.69,4.42
1859,16.77,17.31,4.27
1860,17.19,18.55,4.47
1861,16.83,17.48,4.17
1862,16.41,16.59,4.04
1863,16.74,17.14,4.57
1864,16.82,17.19,4.28
1865,17.2,17.26,4.21
1866,17.07,17.29,4.39
1867,17.12,17.26,4.38
1868,16.74,17.21,4.08
1869,17.13,17.49,4.36
1870,16.79,17.35,4.25
1871,16.95,17.72,4.11
1872,16.92,17.59,4.16
1873,16.47,15.49,4.86
1874,16.86,17.08,4.62
1875,16.67,17.1,4.5
1876,16.63,17.61,4.31
1877,17.1,17.73,4.18
1878,16.89,17.41,4.29
1879,16.48,16.97,4.07
1880,17.11,18.19,3.7
1881,16.88,17.61,4.96
1882,16.78,16.43,4.84
1883,16.91,17.75,4.61
1884,16.62,16.89,4.69
1885,17.06,17.08,4.34
1886,17.1,17.59,4.35
1887,16.71,17.07,4.25
1888,16.88,17.75,4.26
1889,17.24,17.75,4.33
1890,16.72,16.59,4.32
1891,16.95,17.81,3.99
1892,16.71,17.1,4.49
1893,16.75,16.68,4.3
1894,16.83,17.02,4.23
1895,16.83,17.32,4.3
1896,17.41,18.18,4.25
1897,17.0,18.35,4.09
1898,16.48,16.59,4.39
1899,16.9,16.98,4.43
1900,17.39,18.23,4.1
1901,16.91,17.6,4.22
1902,16.71,16.95,4.3
1903,16.64,16.55,4.43
1904,16.6,16.98,4.02
1905,16.78,18.05,4.49
1906,16.52,16.38,4.34
1907,16.48,16.42,4.18
1908,16.77,16.65,4.33
1909,16.96,17.38,3.95
1910,16.63,16.97,4.23
1911,16.81,17.55,4.77
1912,17.11,17.51,4.59
1913,17.31,17.35,4.34
1914,17.39,18.15,4.52
1915,17.03,17.04,4.82
1916,17.05,18.1,4.59
1917,16.56,17.24,4.78
1918,16.89,17.68,4.36
1919,17.33,18.6,4.39
1920,17.3,17.8,4.45
1921,16.78,17.45,4.56
1922,17.37,18.25,4.4
1923,17.41,18.27,4.56
1924,16.7,17.37,4.48
1925,17.02,17.44,4.59
1926,17.33,17.94,4.83
1927,17.69,18.13,4.53
1928,17.27,17.97,4.45
1929,17.39,17.86,4.33
1930,17.04,17.44,4.49
1931,17.39,16.98,4.67
1932,17.62,19.05,4.44
1933,17.53,18.5,4.6
1934,17.52,18.21,3.86
1935,16.76,17.98,4.61
1936,17.07,17.6,3.92
1937,17.45,18.08,4.59
1938,17.39,18.19,4.28
1939,17.03,17.6,4.39
1940,17.6,17.67,4.35
1941,17.73,18.54,4.19
1942,17.53,17.49,4.55
1943,16.88,17.73,4.49
1944,17.46,18.49,4.52
1945,17.6,18.06,4.7
1946,17.51,17.82,4.44
1947,17.58,18.28,4.91
1948,17.27,17.52,4.11
1949,17.67,18.25,4.29
1950,17.45,17.39,4.4
1951,17.0,17.82,4.61
1952,17.52,18.53,4.32
1953,17.31,17.86,4.77
1954,17.07,17.83,4.55
1955,16.6,16.62,4.06
1956,17.09,17.81,4.25
1957,17.43,17.22,4.7
1958,17.42,17.95,4.43
1959,17.33,17.98,4.25
1960,17.57,18.06,4.5
1961,17.55,17.61,4.2
1962,17.74,18.1,4.33
1963,17.51,18.81,4.6
1964,17.26,17.49,4.86
1965,17.4,17.05,4.56
1966,17.81,18.11,4.51
1967,17.31,17.39,4.65
1968,17.04,17.09,4.79
1969,17.77,17.46,4.64
1970,17.72,18.43,4.64
1971,17.29,17.79,4.37
1972,17.62,18.7,4.62
1973,17.58,18.1,4.5
1974,17.18,17.69,4.41
1975,17.15,17.36,4.08
1976,16.96,17.43,4.26
1977,17.66,18.61,4.62
1978,17.41,16.7,4.42
1979,17.79,18.75,4.51
1980,17.61,18.19,4.32
1981,17.12,17.39,4.56
1982,17.75,18.21,4.38
1983,18.2,19.16,4.65
1984,17.97,18.14,4.54
1985,18.06,18.84,4.36
1986,17.96,18.44,4.19
1987,18.1,18.71,4.69
1988,17.63,17.11,4.43
1989,17.41,17.44,4.17
1990,17.73,18.19,4.42
1991,17.75,18.51,4.46
1992,18.26,18.89,4.66
1993,18.2,18.61,4.23
1994,17.61,18.24,4.61
1995,17.87,17.78,4.61
1996,17.26,18.06,4.57
1997,17.62,18.36,4.38
1998,18.1,18.92,4.24
1999,18.55,19.01,4.43
2000,17.59,18.1,4.1
2001,17.87,18.75,4.3
2002,17.95,19.31,4.54
2003,18.26,19.63,4.85
2004,18.08,18.59,4.6
2005,18.22,18.5,4.07
2006,17.6,18.44,4.49
2007,17.99,18.4,4.51
2008,17.96,18.15,4.27
2009,17.89,18.86,4.31
2010,18.3,18.63,4.25
2011,17.55,17.96,4.64
2012,17.85,17.72,4.67
2013,17.33,16.14,5.07
