year,mean,median,standard_deviation
1743,9.35,9.35,
1744,14.54,13.92,5.16
1745,7.93,7.48,2.83
1750,14.12,12.01,6.54
1751,14.71,14.53,7.22
1752,9.62,10.61,3.05
1753,13.63,12.74,6.9
1754,13.66,14.34,6.83
1755,13.34,13.97,7.04
1756,13.68,12.51,6.43
1757,13.51,11.5,7.8
1758,12.39,10.77,6.3
1759,13.5,12.79,6.62
1760,13.07,13.18,6.42
1761,13.7,12.12,7.64
1762,13.61,12.82,6.55
1763,12.96,11.57,6.55
1764,13.64,12.19,5.39
1765,13.66,12.92,5.77
1766,13.54,13.1,6.87
1767,13.6,12.89,6.5
1768,12.91,12.93,6.46
1769,13.4,11.61,6.56
1770,13.25,12.67,5.67
1771,13.74,12.29,6.31
1772,14.37,13.57,6.08
1773,13.34,13.2,6.36
1774,13.96,13.1,7.01
1775,14.1,13.18,5.67
1776,13.6,12.93,6.22
1777,13.42,12.38,5.83
1778,13.78,13.54,6.2
1779,13.96,14.12,6.23
1780,14.38,14.47,6.85
1781,13.99,12.86,5.88
1782,13.02,12.36,7.41
1783,13.54,12.96,6.25
1784,13.33,11.34,7.11
1785,13.12,11.72,6.99
1786,13.53,12.37,6.77
1787,13.67,12.61,5.8
1788,14.14,13.49,6.59
1789,12.91,11.95,6.04
1790,13.73,12.78,6.19
1791,13.77,13.53,6.14
1792,13.73,13.6,5.86
1793,13.71,12.49,6.51
1794,13.61,13.67,5.64
1795,13.72,13.31,6.29
1796,13.53,13.09,6.63
1797,13.38,12.12,6.14
1798,13.7,12.82,6.26
1799,13.22,12.12,6.3
1800,14.12,13.69,6.23
1801,13.91,12.86,5.66
1802,14.08,13.5,6.67
1803,13.77,13.41,6.84
1804,14.22,13.28,6.42
1805,13.26,11.89,6.46
1806,13.87,12.13,6.25
1807,13.32,13.09,6.84
1808,12.62,10.71,7.11
1809,12.79,11.34,5.63
1810,12.56,12.15,5.98
1811,13.0,12.69,5.75
1812,12.58,11.88,6.49
1813,12.83,12.6,5.71
1814,12.44,11.61,5.92
1815,13.01,12.36,6.22
1816,12.37,12.38,5.72
1817,13.51,12.12,5.14
1818,13.81,13.13,5.71
1819,13.19,12.97,5.76
1820,13.02,12.5,6.28
1821,13.8,12.62,5.93
1822,13.82,12.76,6.46
1823,13.25,11.41,6.13
1824,13.59,12.7,6.03
1825,13.76,13.3,6.31
1826,13.49,13.21,6.45
1827,13.38,13.25,6.48
