year,mean,median,standard_deviation
1743,3.57,3.57,
1744,8.35,8.75,5.49
1745,0.44,-0.4,4.21
1750,7.74,6.37,6.89
1751,7.92,8.29,8.01
1752,2.92,3.5,3.57
1753,7.0,6.98,7.66
1754,6.71,7.26,7.66
1755,6.4,8.41,8.24
1756,6.79,5.74,7.25
1757,6.48,5.12,8.1
1758,6.1,5.26,7.16
1759,7.25,7.71,7.44
1760,7.37,8.2,7.17
1761,7.18,5.99,7.74
1762,6.82,7.43,7.89
1763,6.61,5.76,7.24
1764,7.12,5.43,6.49
1765,6.87,7.12,6.74
1766,6.62,7.32,7.97
1767,6.35,6.08,7.69
1768,6.42,6.78,7.41
1769,6.83,5.07,6.75
1770,6.69,5.83,7.09
1771,6.78,5.49,7.19
1772,8.16,7.74,6.53
1773,6.97,7.16,6.44
1774,6.83,6.8,7.43
1775,7.38,6.73,6.93
1776,6.73,7.01,7.23
1777,6.58,6.7,7.37
1778,7.42,7.34,7.04
1779,7.78,9.24,7.09
1780,7.16,7.08,8.03
1781,7.87,7.31,7.05
1782,6.25,5.1,8.08
1783,7.55,7.76,6.98
1784,6.23,3.89,8.53
1785,6.15,5.14,7.81
1786,6.37,6.1,6.94
1787,7.23,7.05,6.93
1788,7.24,6.88,7.76
1789,6.52,7.17,7.47
1790,7.33,6.85,6.83
1791,7.47,7.9,6.72
1792,7.16,8.14,6.93
1793,7.33,6.76,7.33
1794,7.81,8.09,6.87
1795,6.85,8.96,7.98
1796,6.95,6.46,7.11
1797,7.51,7.23,7.08
1798,7.12,7.13,7.4
1799,5.7,5.67,7.66
1800,7.31,8.18,7.07
1801,7.52,7.47,6.35
1802,7.53,8.49,7.76
1803,6.65,7.37,7.54
1804,7.21,6.82,7.25
1805,5.55,4.47,7.22
1806,7.61,5.58,6.12
1807,7.17,6.76,8.09
1808,5.83,4.27,8.41
1809,6.64,4.24,6.54
1810,6.76,6.69,7.04
1811,7.87,8.96,7.57
1812,5.64,5.47,7.8
1813,6.31,7.19,6.48
1814,5.8,6.67,7.11
1815,6.55,7.34,7.07
1816,5.34,6.36,6.51
1817,6.63,3.6,6.52
1818,7.09,7.19,6.66
1819,7.26,7.48,6.77
1820,6.38,7.1,7.42
1821,6.94,7.13,6.09
1822,8.21,7.84,7.21
1823,6.56,6.0,7.15
1824,7.21,6.03,6.5
1825,7.46,7.35,6.68
1826,7.06,7.48,7.88
1827,6.87,7.79,7.69
1828,7.55,6.91,6.55
1829,5.42,6.1,7.82
1830,6.39,7.46,8.12
1831,7.14,8.69,6.66
1832,6.67,6.48,6.97
1833,6.94,5.88,6.54
1834,7.97,6.07,7.33
1835,6.42,5.47,7.39
1836,6.59,6.25,7.0
1837,6.06,5.22,7.42
1838,5.85,5.06,7.52
1839,7.07,6.39,6.89
1840,6.21,6.07,7.32
1841,7.19,7.42,6.81
1842,6.38,4.89,7.8
1843,6.73,6.61,5.99
1844,6.46,7.8,7.39
1845,6.15,6.97,7.23
1846,7.71,7.14,7.73
1847,6.32,5.57,7.43
1848,6.79,7.49,7.72
1849,6.86,6.22,7.11
1850,6.15,5.44,6.86
1851,6.04,7.2,6.84
1852,7.23,5.87,6.38
1853,5.97,5.79,7.7
1854,6.53,7.22,7.06
1855,5.85,7.06,7.98
1856,6.68,7.28,6.85
1857,6.83,7.05,7.55
1858,6.03,7.79,8.23
1859,7.34,7.82,7.82
1860,5.68,5.41,7.02
1861,6.96,7.06,7.64
