year,mean,median,standard_deviation
1816,24.93,25.43,2.25
1817,24.65,25.15,2.26
1818,25.31,25.47,2.62
1819,24.71,25.46,2.05
1820,25.31,25.73,2.39
1821,25.63,25.72,1.79
1822,25.76,26.21,2.47
1823,25.64,25.98,2.06
1825,25.94,26.12,2.0
1833,25.65,25.95,1.61
1834,25.64,26.09,2.07
1835,24.7,24.84,1.86
1836,25.16,25.47,1.85
1837,24.82,25.09,1.56
1838,26.2,26.56,1.4
1839,25.61,26.65,2.25
1840,25.61,26.26,1.81
1841,26.2,26.61,1.78
1842,25.68,26.12,1.69
1843,25.72,26.27,1.81
1844,25.22,25.47,2.09
1845,25.02,25.54,1.97
1846,25.49,25.98,1.95
1847,25.08,25.68,1.84
1848,25.31,25.79,2.13
1849,25.43,26.11,2.07
1850,25.55,26.29,1.99
1851,25.68,26.25,1.9
1852,25.5,25.95,1.93
1853,25.79,26.7,2.27
1854,25.79,26.42,1.99
1855,25.64,26.37,2.2
1856,25.35,25.92,2.04
1857,25.63,26.23,1.62
1858,25.72,26.59,2.1
1859,25.71,26.47,2.22
1860,25.5,26.12,1.92
1861,25.42,26.34,1.83
1862,23.52,23.22,2.5
1863,25.45,25.99,2.05
1864,25.32,25.64,2.14
1865,25.77,26.53,1.94
1866,25.82,26.48,1.96
1867,25.72,26.48,2.23
1868,25.76,26.35,1.92
1869,25.29,26.14,2.28
1870,25.34,25.97,2.33
1871,25.6,26.23,2.29
1872,25.75,26.45,2.32
1873,25.81,26.64,2.05
1874,25.77,26.51,2.17
1875,25.37,26.45,2.39
1876,25.32,26.18,2.29
1877,25.87,26.3,2.16
1878,26.37,26.98,2.26
1879,25.81,26.35,1.9
1880,25.62,26.3,1.87
1881,25.81,26.47,2.01
1882,25.69,26.23,1.96
1883,25.49,26.12,2.19
1884,25.27,26.04,2.14
1885,25.71,26.27,2.14
1886,25.65,26.63,2.3
1887,25.44,26.06,2.03
1888,25.93,26.42,2.06
1889,26.03,26.42,2.28
1890,25.68,26.17,1.75
1891,25.93,26.33,1.98
1892,25.38,25.9,2.15
1893,25.19,26.1,2.18
1894,25.56,26.3,1.99
1895,25.85,26.47,2.06
1896,25.94,26.63,2.04
1897,26.1,26.8,2.19
1898,25.74,26.52,2.33
1899,25.61,26.41,2.14
1900,26.1,26.62,2.05
1901,26.06,26.65,1.99
1902,26.12,26.75,2.07
1903,25.88,26.49,2.46
1904,25.42,26.4,2.19
1905,25.98,26.34,1.76
1906,26.15,26.5,2.02
1907,25.57,26.3,1.99
1908,25.7,26.26,1.94
1909,25.88,26.67,1.99
1910,25.8,26.21,2.03
1911,26.01,26.77,1.88
1912,25.92,26.56,2.37
1913,25.72,26.38,2.07
1914,26.13,26.72,1.99
1915,26.15,26.91,2.18
1916,25.61,26.4,2.33
1917,25.51,26.05,2.18
1918,25.61,26.39,2.18
1919,26.3,26.88,2.05
1920,26.05,26.8,2.13
1921,25.78,26.46,2.09
1922,26.03,26.41,2.0
1923,25.93,26.66,1.79
1924,26.02,26.92,2.06
1925,25.7,26.72,2.09
1926,26.24,26.74,1.99
1927,25.94,26.61,1.83
1928,25.98,26.86,1.75
1929,25.85,26.07,1.63
1930,25.94,26.38,1.91
1931,26.51,27.23,2.16
1932,25.93,26.34,2.33
1933,26.03,26.83,2.08
1934,25.71,26.55,2.27
1935,26.49,26.89,1.74
1936,25.99,26.3,1.92
1937,26.41,26.97,1.84
1938,25.99,26.74,1.71
1939,25.98,26.8,2.29
1940,26.26,26.91,2.15
1941,26.9,27.25,1.66
1942,26.38,26.77,1.83
1943,25.92,26.87,2.13
1944,26.44,27.28,2.13
1945,26.18,26.87,1.76
1946,26.44,27.19,1.82
1947,26.52,27.15,1.66
1948,26.12,26.87,1.93
1949,26.25,26.97,2.0
1950,26.09,26.95,2.16
1951,26.26,27.18,1.96
1952,26.32,26.75,2.08
1953,26.41,27.01,1.77
1954,26.39,26.71,1.93
1955,25.87,26.95,2.39
1956,25.93,26.73,2.19
1957,26.51,27.02,2.0
1958,26.49,27.14,2.52
1959,26.6,26.69,1.79
1960,26.59,27.14,2.09
1961,26.29,26.7,1.8
1962,26.14,26.9,2.33
1963,26.13,26.86,2.5
1964,26.24,26.98,2.06
1965,26.34,26.81,1.87
1966,26.82,26.81,1.5
1967,26.1,26.85,2.12
1968,26.36,27.15,1.68
1969,26.57,26.92,2.13
1970,26.4,26.82,1.75
1971,25.67,26.63,2.2
1972,26.4,26.92,2.0
1973,26.44,26.93,2.42
1974,26.01,26.76,1.89
1975,26.16,26.86,2.35
1976,25.96,26.73,2.19
1977,26.37,26.81,2.03
1978,26.5,26.83,1.87
1979,26.83,27.24,1.99
1980,26.81,27.06,2.03
1981,26.21,27.08,2.16
1982,26.19,26.59,2.21
1983,26.47,27.1,2.69
1984,26.13,26.74,1.99
1985,26.27,26.68,1.76
1986,26.15,26.81,1.98
1987,26.65,27.31,2.33
1988,26.4,27.16,2.07
1989,26.32,26.92,1.94
1990,26.59,27.12,1.74
1991,26.65,26.96,1.96
1992,26.29,26.97,2.59
1993,26.3,26.85,2.14
1994,26.48,26.8,1.58
1995,26.53,26.96,2.18
1996,26.19,26.84,1.96
1997,26.64,27.05,1.76
1998,27.38,27.44,1.95
1999,26.22,26.93,2.0
2000,26.3,26.93,1.47
