year,mean,median,standard deviation
1768,5.57,4.88,7.98
1769,10.45,12.28,10.93
1774,1.6,0.52,7.16
1775,9.5,8.96,8.56
1776,8.11,7.25,9.84
1777,8.3,6.44,8.22
1778,5.36,4.42,8.92
1779,-0.71,-0.29,4.43
1781,6.25,6.43,7.06
1782,7.61,8.79,11.15
1796,12.23,16.32,10.48
1797,6.36,3.79,8.15
1811,8.04,6.88,9.59
1812,7.01,6.76,10.33
1813,9.92,14.68,10.96
1814,3.78,3.91,3.99
1815,7.5,6.89,9.52
1816,4.4,2.94,7.91
1817,7.23,6.98,9.13
1818,6.27,4.99,9.51
1819,-2.77,-2.34,2.04
1820,7.56,8.38,9.74
1821,8.0,7.54,9.3
1822,8.39,7.62,9.43
1823,7.91,7.82,9.72
1824,8.5,7.59,9.11
1825,8.97,8.76,9.11
1826,8.58,8.19,9.15
1827,9.1,8.9,9.0
1828,8.85,8.24,9.3
1829,8.39,8.41,9.73
1830,9.22,9.19,8.84
1831,7.72,7.9,9.68
1832,8.25,8.56,9.01
1833,8.81,8.04,8.74
1834,8.83,8.62,9.11
1835,7.54,7.42,9.19
1836,7.56,7.17,9.36
1837,7.98,6.9,8.96
1838,7.55,7.28,10.16
1839,8.52,9.78,9.21
1840,8.25,7.96,9.21
1841,8.15,7.37,9.36
1842,8.36,8.79,8.64
1843,7.78,7.09,9.12
1844,8.08,8.51,9.09
1845,8.41,8.21,9.16
1846,9.14,7.86,8.91
1847,7.91,8.28,9.26
1848,8.02,8.01,9.07
1849,8.13,7.63,9.52
1850,8.25,7.79,9.67
1851,8.66,8.39,9.43
1852,8.18,7.88,9.44
1853,8.46,8.26,9.32
1854,8.82,9.12,9.49
1855,8.46,8.84,9.63
1856,7.94,8.62,10.37
1857,8.14,7.07,9.45
1858,8.41,8.36,9.26
1859,8.02,7.14,9.43
1860,8.58,8.59,9.37
1861,8.65,8.55,9.24
1862,8.21,7.85,9.66
1863,8.45,7.91,9.2
1864,8.38,7.41,9.78
1865,8.5,8.07,9.86
1866,8.33,8.9,9.28
1867,8.51,8.64,9.47
1868,8.21,8.1,9.71
1869,8.31,7.2,9.28
1870,8.83,8.9,9.54
1871,8.71,8.9,9.58
1872,8.0,8.23,9.96
1873,8.06,7.12,9.7
1874,8.77,7.93,9.71
1875,7.85,7.95,9.99
1876,8.1,8.17,9.71
1877,8.7,8.12,9.1
1878,9.02,8.88,9.27
1879,8.68,9.31,9.49
1880,8.11,7.98,9.55
1881,8.64,8.71,9.92
1882,8.37,8.5,9.03
1883,7.94,7.9,9.68
1884,7.96,8.35,9.81
1885,8.16,8.51,9.61
1886,8.18,8.66,10.21
1887,8.14,8.01,9.83
1888,8.17,8.7,9.59
1889,8.8,9.13,8.93
1890,8.56,8.34,9.09
1891,8.32,8.58,9.11
1892,8.18,8.28,9.39
1893,8.17,8.24,9.56
1894,8.47,8.65,9.44
1895,7.85,8.27,9.77
1896,8.48,8.46,9.39
1897,8.47,8.65,9.43
1898,8.43,8.13,9.52
1899,8.17,8.59,9.8
1900,9.02,9.31,9.26
1901,8.49,8.55,9.63
1902,8.45,8.88,9.39
1903,7.98,8.1,9.25
1904,8.2,8.5,9.33
1905,8.4,8.25,9.48
1906,8.56,8.95,9.22
1907,8.39,7.79,8.64
1908,8.76,8.34,8.66
1909,8.22,7.83,9.52
1910,8.76,9.41,9.44
1911,8.74,8.38,9.32
1912,8.14,8.75,9.27
1913,8.55,8.18,9.32
1914,8.88,9.31,9.36
1915,8.65,9.95,8.93
1916,8.18,8.5,9.53
1917,7.67,7.4,9.67
1918,8.5,8.58,9.58
1919,8.54,8.59,9.58
1920,8.18,7.52,9.18
1921,9.6,9.06,8.78
1922,8.77,9.11,9.46
1923,8.76,8.29,9.11
1924,8.05,8.12,9.45
1925,9.02,8.88,9.37
1926,9.14,9.32,9.05
1927,8.72,8.92,8.87
1928,8.88,8.39,8.65
1929,8.44,8.86,9.47
1930,8.74,8.99,9.52
1931,9.56,9.36,8.91
1932,8.54,8.82,9.5
1933,9.03,8.79,9.45
1934,9.83,10.34,9.15
1935,8.74,8.54,9.15
1936,8.92,8.73,10.38
1937,8.73,8.71,9.85
1938,9.47,10.11,9.07
1939,9.31,9.13,9.18
1940,9.1,9.76,9.5
1941,9.27,9.55,8.94
1942,8.92,9.75,9.2
1943,9.0,9.43,9.33
1944,8.9,8.79,9.17
1945,8.67,8.64,8.86
1946,9.18,9.59,8.78
1947,8.84,9.98,9.46
1948,8.48,9.16,9.58
1949,8.89,9.0,9.46
1950,8.66,9.29,8.94
1951,8.42,8.71,9.52
1952,8.98,8.84,9.32
1953,9.53,9.04,8.87
1954,9.41,9.91,9.14
1955,8.52,9.21,9.76
1956,8.7,8.75,9.52
1957,9.13,8.72,9.04
1958,8.97,8.9,9.35
1959,8.83,8.74,9.44
1960,8.69,9.24,9.6
1961,8.64,8.05,9.28
1962,8.96,9.7,9.24
1963,9.08,10.31,9.64
1964,8.49,8.84,9.53
1965,8.65,9.14,8.94
1966,8.48,8.21,9.63
1967,8.9,9.04,8.84
1968,8.55,8.82,9.38
1969,8.77,9.1,9.54
1970,8.67,7.84,9.48
1971,8.44,8.75,9.49
1972,8.43,8.23,9.51
1973,8.93,8.88,9.21
1974,8.82,8.86,9.18
1975,8.43,7.91,9.26
1976,8.65,8.2,9.08
1977,9.27,9.48,9.62
1978,8.75,9.23,9.79
1979,8.57,9.4,9.95
1980,9.14,8.97,9.42
1981,9.72,9.62,8.59
1982,8.54,7.77,9.31
1983,8.91,8.24,9.36
1984,8.81,8.34,9.19
1985,8.59,9.07,9.52
1986,9.56,9.04,8.61
1987,9.63,9.41,8.89
1988,9.28,8.95,9.51
1989,8.87,9.67,9.56
1990,9.52,9.49,9.19
1991,9.49,9.65,9.13
1992,9.06,9.13,8.52
1993,8.87,8.92,9.13
1994,9.27,9.3,9.39
1995,9.33,9.0,8.98
1996,8.75,8.4,9.4
1997,9.17,8.16,9.15
1998,10.14,9.65,8.93
1999,9.57,9.1,8.81
2000,9.65,9.53,9.08
2001,9.79,9.43,9.02
2002,9.82,9.25,8.99
2003,9.76,10.24,9.11
2004,9.67,10.03,9.01
2005,9.89,9.64,9.06
2006,9.97,9.73,8.88
2007,9.84,9.7,9.5
2008,8.95,8.53,9.35
2009,9.14,8.35,9.25
2010,9.51,10.23,9.69
2011,9.55,9.54,9.48
2012,10.26,9.94,9.06
2013,11.3,14.07,9.92
